sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
158.6122700 +54.6454439 Sloan 158.61227 +54.64544 DR7
161.0259400 +55.2549761 Sloan 161.02594 +55.25498 DR7
118.9782300 +31.6283689 Sloan 118.97823 +31.62837 DR7
186.1591600 +56.9621431 Sloan 186.15916 +56.96214 DR7
189.6254000 +58.0973019 Sloan 189.62540 +58.09730 DR7
229.1230900 +47.5098150 Sloan 229.12309 +47.50981 DR7
248.2953200 +36.1261219 Sloan 248.29532 +36.12612 DR7
176.9397300 +56.5715339 Sloan 176.93973 +56.57153 DR7
189.1887900 +57.4971569 Sloan 189.18879 +57.49716 DR7
148.2060700 +52.9922139 Sloan 148.20607 +52.99221 DR7
121.2450200 +37.9948411 Sloan 121.24502 +37.99484 DR7
132.5930100 +47.0254169 Sloan 132.59301 +47.02542 DR7
119.5235900 +36.4121789 Sloan 119.52359 +36.41218 DR7
167.3759900 +58.5607131 Sloan 167.37599 +58.56071 DR7
193.7188000 +59.2432650 Sloan 193.71880 +59.24326 DR7
179.5536600 +61.0094100 Sloan 179.55366 +61.00941 DR7
226.3884300 +53.7722031 Sloan 226.38843 +53.77220 DR7
258.0823700 +28.3465281 Sloan 258.08237 +28.34653 DR7
256.9042300 +30.1732031 Sloan 256.90423 +30.17320 DR7
232.3860400 +52.2813619 Sloan 232.38604 +52.28136 DR7
183.4727600 +62.7657419 Sloan 183.47276 +62.76574 DR7
223.3944100 +57.7684431 Sloan 223.39441 +57.76844 DR7
201.7985500 +61.5473339 Sloan 201.79855 +61.54733 DR7
125.3588500 +45.9489431 Sloan 125.35885 +45.94894 DR7
129.8424100 +52.3563319 Sloan 129.84241 +52.35633 DR7
200.1669500 +64.8598250 Sloan 200.16695 +64.85982 DR7
259.1318900 +31.6058761 Sloan 259.13189 +31.60588 DR7
119.4957100 +42.3155611 Sloan 119.49571 +42.31556 DR7
252.6882800 +40.6382169 Sloan 252.68828 +40.63822 DR7
148.8246100 +61.9792411 Sloan 148.82461 +61.97924 DR7
165.0190300 +65.6519789 Sloan 165.01903 +65.65198 DR7
224.2552400 +61.6067639 Sloan 224.25524 +61.60676 DR7
244.4153300 +50.4425200 Sloan 244.41533 +50.44252 DR7
229.3074400 +61.0848289 Sloan 229.30744 +61.08483 DR7
121.6489700 +49.4299119 Sloan 121.64897 +49.42991 DR7
128.7287500 +55.5725300 Sloan 128.72875 +55.57253 DR7
137.5702200 +61.5271111 Sloan 137.57022 +61.52711 DR7
132.6053300 +61.3820461 Sloan 132.60533 +61.38205 DR7
124.9416100 +56.9462450 Sloan 124.94161 +56.94624 DR7
120.7369500 +53.8095469 Sloan 120.73695 +53.80955 DR7
112.4727300 +41.9085181 Sloan 112.47273 +41.90852 DR7
257.6574200 +60.9675069 Sloan 257.65742 +60.96751 DR7
014.5796900 +13.9141569 Sloan 014.57969 +13.91416 DR7
331.6095200 +13.0240450 Sloan 331.60952 +13.02404 DR7
352.2179200 +14.8787211 Sloan 352.21792 +14.87872 DR7
348.1854200 +15.0619911 Sloan 348.18542 +15.06199 DR7
349.4578700 +15.5239681 Sloan 349.45787 +15.52397 DR7
003.0230800 +13.9831369 Sloan 003.02308 +13.98314 DR7
318.3730300 +00.9705581 Sloan 318.37303 +00.97056 DR7
341.1056900 +00.7955261 Sloan 341.10569 +00.79553 DR7
051.6207100 -00.5375650 Sloan 051.62071 -00.53756 DR7
014.6252800 -01.1940789 Sloan 014.62528 -01.19408 DR7
007.9601900 -00.6805000 Sloan 007.96019 -00.68050 DR7
029.1068600 -00.2443039 Sloan 029.10686 -00.24430 DR7
348.7289400 +00.0002800 Sloan 348.72894 +00.00028 DR7
357.0459500 +00.4800100 Sloan 357.04595 +00.48001 DR7
313.3439900 -06.3896681 Sloan 313.34399 -06.38967 DR7
025.0595500 -10.3107131 Sloan 025.05955 -10.31071 DR7
025.6690900 -10.2625500 Sloan 025.66909 -10.26255 DR7
343.1114100 -09.1969650 Sloan 343.11141 -09.19696 DR7
179.4521800 -02.5454519 Sloan 179.45218 -02.54545 DR7
197.5609400 -02.1817331 Sloan 197.56094 -02.18173 DR7
184.9268100 -02.0589600 Sloan 184.92681 -02.05896 DR7
170.8945400 -01.4990219 Sloan 170.89454 -01.49902 DR7
211.5487500 -02.5579400 Sloan 211.54875 -02.55794 DR7
224.8535600 -01.1945061 Sloan 224.85356 -01.19451 DR7
129.4975300 -00.4255850 Sloan 129.49753 -00.42558 DR7
139.1139700 -00.4355161 Sloan 139.11397 -00.43552 DR7
129.6545200 -00.0879481 Sloan 129.65452 -00.08795 DR7
238.8378600 -00.5940011 Sloan 238.83786 -00.59400 DR7
