INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
876,PSZ2 G190.61+66.46,190.6189079,66.46242102,166.5375777,33.5720437,3.867596149,5.107653141,3,11,FALSE,643,0,0.964039028,1.996677399,0.744262278,20,WHL J166.535+33.56,0.488099992,5.546290398,0.625957966,0.668224812,,RMJ110608.5+333339.7,,,3,5.08200407,FALSE,
877,PSZ2 G191.00+06.65,191.00484,6.655957705,98.76410339,22.51695271,1.592624545,16.610672,3,111,FALSE,644,0,0.993394971,29.67995834,3.158375263,21,RXC J0635.0+2231,0.068000004,5.891887665,0.214605331,0.185614109,J0635.0+2231,,,,-10,-1000,FALSE,
879,PSZ2 G191.63-28.01,191.6369671,-28.01889331,68.40815813,4.078822568,3.614463091,4.931794167,2,110,FALSE,-1,0,0.958323002,1.680832982,0.640195429,16,,-1,0,0,0,,,,,3,-1000,FALSE,
880,PSZ2 G191.82-26.64,191.8295511,-26.64045185,69.65383118,4.700734496,2.064814568,6.172016144,2,111,TRUE,646,0,0.00105411,3.165705681,1.704188466,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,"Point sources at: 353GHz,"
881,PSZ2 G192.18+56.12,192.1898163,56.12999008,154.0910699,33.6604183,3.774932623,7.82347393,2,111,FALSE,647,0,0.980364978,3.719381094,0.867032707,20,RXC J1016.3+3338,0.123999998,3.620564938,0.284648657,0.313453197,J1016.3+3338,RMJ101622.9+333817.4,,,-10,0.216861278,TRUE,
883,PSZ2 G192.77+33.14,192.7781018,33.14714365,127.171809,30.40216364,5.045049667,5.02880764,3,11,FALSE,-1,0,0.732418001,3.062320471,1.258287668,21,RXC J0828.6+3025,0.050299998,1.658463597,0.193151832,0.21124208,J0828.6+3025,RMJ082843.9+302416.3,,,-10,-1000,FALSE,
886,PSZ2 G193.63+54.85,193.6351213,54.8531489,152.5728755,32.830679,2.533717632,5.854269028,3,111,FALSE,649,0,0.93325001,2.063319683,0.729817748,20,WHL J152.572+32.83,0.291999996,5.185323238,0.497973442,0.54440403,,RMJ101017.3+324954.6,,,3,-100,FALSE,
887,PSZ2 G193.90+09.41,193.9094357,9.418167815,102.7990898,21.1486224,2.428908587,5.061131954,1,110,FALSE,-1,0,0.895344973,4.450948715,2.322001696,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,
888,PSZ2 G194.36+14.07,194.3693099,14.07500252,107.5619264,22.68753018,5.102659702,4.941287041,3,11,FALSE,-1,0,0.992673993,2.3462708,0.875319302,21,RXC J0710.4+2240,0.289000005,5.06553936,0.578169823,0.591069698,J0710.4+2240,,,,-10,-1000,FALSE,
889,PSZ2 G194.68-49.76,194.6873979,-49.76827834,51.3417219,-9.68045472,3.491396666,5.711607933,2,111,FALSE,651,0,0.795149982,1.400381207,0.438700646,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,
893,PSZ2 G195.39-29.08,195.3932297,-29.08828237,69.30034166,0.727149073,3.454254866,5.436785221,2,111,FALSE,-1,0,0.99901098,1.614767313,0.537320912,21,RXCJ0437.1+0043,0.284200013,5.561950207,0.612508774,0.64871645,J0437.1+0043,,,,-10,-1000,FALSE,
894,PSZ2 G195.60+44.06,195.6042825,44.06644849,140.0993066,30.50375448,2.234846592,7.560829639,2,111,FALSE,654,0,0.957385004,2.095673561,0.680285752,20,RXC J0920.4+3030,0.29519999,6.13071537,0.459614277,0.495532513,J0920.4+3030,RMJ092025.8+302938.7,,,-10,-100,TRUE,
896,PSZ2 G195.75-24.32,195.7577842,-24.32060542,73.52666382,2.962251974,2.328994036,11.78438854,2,111,FALSE,655,0,0.985953987,5.691765785,0.992763221,21,RXC J0454.1+0255,0.202999994,7.80038023,0.403368473,0.413187027,J0454.1+0255,,,,-10,-1000,TRUE,
